date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
14:56:31	67/67	---M--	200	added ('OK')	text/plain	date:Mon,%2018%20Jul%202022%2008:56:30%20GMT	https://getnoze.com/robots.txt		(from )
14:56:35	91391/91391	---M-Z	200	added ('OK')	text/html	date:Mon,%2018%20Jul%202022%2008:56:31%20GMT	https://getnoze.com/	C:/Users/MY/Desktop/website-copy/getnoze.com/index.html	(from )
14:56:37	9479/9479	---M--	200	added ('OK')	image/svg+xml	etag:%222507-5c924f0dcf7ce%22	https://getnoze.com/wp-content/themes/noze/noze/assets/img/favicon.svg	C:/Users/MY/Desktop/website-copy/getnoze.com/wp-content/themes/noze/noze/assets/img/favicon.svg	(from https://getnoze.com/)
14:56:38	195/195	---M-Z	200	added ('OK')	text/css	etag:%22c3-5c924f0db51ed-gzip%22	https://getnoze.com/wp-content/themes/noze/noze/assets/fonts/poppins.css	C:/Users/MY/Desktop/website-copy/getnoze.com/wp-content/themes/noze/noze/assets/fonts/poppins.css	(from https://getnoze.com/)
14:56:39	61797/61797	---M-Z	200	added ('OK')	text/css	etag:%22f165-5cd33f98bc7db-gzip%22	https://getnoze.com/wp-content/themes/noze/noze/style.css	C:/Users/MY/Desktop/website-copy/getnoze.com/wp-content/themes/noze/noze/style.css	(from https://getnoze.com/)
14:56:39	429/429	---M-Z	200	added ('OK')	text/css	etag:%221ad-5c924f0db51ed-gzip%22	https://getnoze.com/wp-content/themes/noze/noze/assets/css/fadeInUp.css	C:/Users/MY/Desktop/website-copy/getnoze.com/wp-content/themes/noze/noze/assets/css/fadeInUp.css	(from https://getnoze.com/)
14:56:40	89501/89501	---M-Z	200	added ('OK')	application/javascript	etag:W/%22620cd6ff-15d9d%22	https://code.jquery.com/jquery-3.6.0.min.js	C:/Users/MY/Desktop/website-copy/code.jquery.com/jquery-3.6.0.min.js	(from https://getnoze.com/)
14:56:41	237/237	---M--	200	added ('OK')	image/svg+xml	etag:%22ed-5c924f0dcf7ce%22	https://getnoze.com/wp-content/themes/noze/noze/assets/img/lng-arrow.svg	C:/Users/MY/Desktop/website-copy/getnoze.com/wp-content/themes/noze/noze/assets/img/lng-arrow.svg	(from https://getnoze.com/wp-content/themes/noze/noze/style.css)
14:56:43	187853/187853	---M--	200	added ('OK')	image/png	etag:%222ddcd-5c924f0dcf7ce%22	https://getnoze.com/wp-content/themes/noze/noze/assets/img/matters1.png	C:/Users/MY/Desktop/website-copy/getnoze.com/wp-content/themes/noze/noze/assets/img/matters1.png	(from https://getnoze.com/wp-content/themes/noze/noze/style.css)
14:56:43	150700/150700	---M--	200	added ('OK')	image/png	etag:%2224cac-5c924f0dd076e%22	https://getnoze.com/wp-content/themes/noze/noze/assets/img/matters2.png	C:/Users/MY/Desktop/website-copy/getnoze.com/wp-content/themes/noze/noze/assets/img/matters2.png	(from https://getnoze.com/wp-content/themes/noze/noze/style.css)
